observation_id,endemic,binomial_name,country,code,class_id,file_path
2670732,False,Natrix natrix,Primorsko-Goranska,HR,1005,1991/Natrix_natrix/3001088.jpg
2670732,False,Natrix natrix,Primorsko-Goranska,HR,1005,1991/Natrix_natrix/3001089.jpg
35019220,False,Natrix natrix,Lower Austria,AT,1005,2000/Natrix_natrix/55191012.jpg
102420572,False,Natrix natrix,Karlovacka,HR,1005,2000/Natrix_natrix/171202381.jpeg
21294658,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/32927498.jpg
21294658,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/32927502.jpg
21675425,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/33560999.jpg
21675425,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/33560992.jpg
30029510,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/46895734.jpg
30029510,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/46895732.jpg
30029510,False,Natrix natrix,Lower Austria,AT,1005,2002/Natrix_natrix/72910653.jpg
527143,False,Natrix natrix,Qaraghandy,KZ,1005,2002/Natrix_natrix/670758.JPG
37965904,False,Natrix natrix,Karlovacka,HR,1005,2002/Natrix_natrix/60267984.jpg
19735553,False,Natrix natrix,Chuvashia,RU,1005,2003/Natrix_natrix/30407363.jpg
41099054,False,Natrix natrix,unknown,RS,1005,2003/Natrix_natrix/65168507.jpg
55888529,False,Natrix natrix,Donetsk,UA,1005,2003/Natrix_natrix/89022283.jpg
41022803,False,Natrix natrix,unknown,RS,1005,2003/Natrix_natrix/65051840.jpg
55623,False,Natrix natrix,Shirak,AM,1005,2003/Natrix_natrix/86913.jpg
38087054,False,Natrix natrix,Vaestra Goetaland,SE,1005,2004/Natrix_natrix/60482642.jpg
64812919,False,Natrix natrix,Podlasie,PL,1005,2004/Natrix_natrix/104259715.jpg
16593260,False,Natrix natrix,Zlin,CZ,1005,2004/Natrix_natrix/24998207.jpg
19467097,False,Natrix natrix,Licko-Senjska,HR,1005,2004/Natrix_natrix/29949819.jpg
50244667,False,Natrix natrix,Mojkovac,ME,1005,2004/Natrix_natrix/79788214.jpg
1395369,False,Natrix natrix,Opstina Savnik,ME,1005,2004/Natrix_natrix/1725348.jpg
64108013,False,Natrix natrix,Lower Austria,AT,1005,2005/Natrix_natrix/103002616.jpg
